,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
70679,MODL3,2023-06-29,0.2042220291576415,0.3499940142569858,0.2857157605101645,1503.629624206941,1134.033495991453,916.6130742738328
70882,LIGT3,2023-06-29,0.1997914066148654,0.3500052446419563,0.1428557375187114,6539.171116206295,4491.587689710461,4675.336939108751
72813,BRBI11,2023-06-29,0.1653176487489295,0.2999645474932186,0.3333552935349865,185.28755811126848,127.67266948596186,152.94705743202138
84326,CSED3,2023-06-29,0.1718787214896671,0.366822200586348,0.2726055033612061,532.199593866982,441.4199772284545,499.17353766232713
9887,CMIN3,2023-07-31,0.1993649183849012,0.4833350944774748,0.3103324542328424,4582.49290514683,4246.641014828421,4648.155304940327
11106,PDGR3,2023-07-31,0.1964787664220368,0.2838913683059307,0.3542113957486432,302.9054202444723,173.08095842123168,178.59361373355574
15341,ENBR3,2023-07-31,0.2280990715599029,0.6166640896390385,0.3513414481492435,1834.8476239453464,1501.693549931603,2327.3182820151037
16243,AZEV4,2023-07-31,0.2370200051401098,0.2999997505224975,0.1666716504001079,799.1398411495525,310.1334563886277,461.6079894286163
18018,TRAD3,2023-07-31,0.2762795324675459,0.1833305965767568,0.0909118101302947,3135.882559383103,649.6975918185792,856.2743625362838
22347,OPCT3,2023-07-31,0.2179348891167679,0.2499994983391654,0.2666798950985159,1224.52010286213,509.5968199957962,588.9566656734862
28766,BRPR3,2023-07-31,0.2254122469086713,0.416695328455277,2.0581749925643e-08,256.4779378432684,133.80036864589,233.449596177165
30451,PDTC3,2023-07-31,0.2174828508848935,0.2001609840418082,0.1665342128272791,240.97621480506731,75.48785291018986,98.06128170572964
33209,LUPA3,2023-07-31,0.180924522287316,0.3500001021297887,0.0476200649897503,374.6171085594853,238.4775748325789,355.1065368356716
